id,first_name,last_name,gender,Grade,absence_days,tardy_days,math_grade,science_grade,english_grade,it_grade
1,Marsh,Hullot,Male,1,5,36,52,29,95,87
2,Boniface,Vany,Male,2,0,11,75,83,68,62
3,Harwilll,List,Male,3,20,48,38,11,32,63
4,Carlie,Niche,Male,1,3,24,99,6,61,45
5,Wilow,Regnard,Female,5,11,23,55,43,18,13
6,Sapphire,Lunt,Female,5,19,47,97,35,27,37
7,Walden,Lerohan,Male,5,6,10,80,55,71,15
8,Davita,Blasl,Female,12,13,1,79,19,68,27
9,Elinor,Crumbleholme,Female,7,12,43,7,57,52,99
10,Merrel,Lownsbrough,Male,10,21,9,26,92,40,50
11,Gale,Horburgh,Female,2,15,13,75,71,52,83
12,Mikel,Dicty,Male,3,24,42,41,17,30,92
13,Carma,Andriesse,Female,4,12,30,8,90,90,92
14,Ilene,Dallaghan,Female,1,27,15,71,45,30,6
15,Luther,Jennrich,Male,7,8,50,61,46,64,27
16,Barron,Sparsholt,Male,6,16,21,22,35,52,72
17,Lilly,Cadge,Female,6,9,27,58,55,15,3
18,Suzy,Isham,Female,1,29,36,73,79,71,67
19,Antoni,Josefsson,Male,8,7,36,45,55,1,61
20,Tammi,Foister,Female,7,8,28,87,38,34,86
21,Renae,Heibel,Female,3,23,18,46,8,26,66
22,Cherice,Annable,Female,9,5,0,59,96,2,53
23,Carroll,Bakster,Male,11,21,42,85,70,54,60
24,Bernardine,Pryor,Female,2,23,9,69,39,20,61
25,Sebastien,Ponten,Male,10,21,4,77,43,54,35
26,Jerrold,Harford,Male,8,18,9,65,82,10,67
27,Demetris,Sapsed,Female,6,28,12,51,40,54,48
28,Dre,Kelland,Female,9,1,14,72,7,3,96
29,Giorgia,Goskar,Female,8,22,40,69,20,12,89
30,Virgilio,Wardel,Male,5,29,10,35,12,62,6
31,Valentia,Adamski,Female,4,20,50,36,19,13,44
32,Alex,Herreran,Male,1,17,43,33,64,41,94
33,Jobyna,Coen,Female,9,18,39,4,30,71,52
34,Kennie,Egalton,Male,2,6,32,78,87,67,60
35,Fritz,Marcussen,Male,11,8,47,75,75,91,92
36,Dani,Andell,Female,3,19,42,90,43,90,16
37,Carroll,Alti,Female,7,25,0,100,96,68,63
38,Randi,Vears,Female,4,15,2,95,87,10,26
39,Abey,Norcutt,Male,7,18,23,11,98,18,70
40,Florri,Seyffert,Female,8,29,7,6,56,82,94
41,Laetitia,Camillo,Female,7,3,0,34,61,83,10
42,Betti,Treven,Female,11,22,24,85,48,40,85
43,Joanne,Paszak,Female,2,6,9,56,81,23,70
44,Rosabelle,Threlkeld,Female,11,6,26,4,61,72,84
45,Inglebert,MacClancey,Male,10,1,41,10,23,23,60
46,Stanislaus,Ingraham,Male,9,17,6,87,76,38,15
47,Lurleen,Bettenson,Female,6,27,39,95,94,51,81
48,Luisa,Hanney,Female,12,18,32,44,75,65,45
49,Falkner,Darbey,Male,2,26,34,84,76,92,30
50,Antonella,Greenset,Female,4,3,48,18,75,64,52
51,Philbert,Arnaldi,Male,11,0,28,32,33,74,35
52,Frankie,Schenkel,Male,8,0,15,33,23,52,89
53,Edmund,Dumbrall,Male,5,4,29,50,85,100,93
54,Shanna,Pinckstone,Female,9,11,23,73,10,65,100
55,Louie,Neat,Male,3,30,35,94,31,20,64
56,Emera,Tomalin,Female,2,0,34,66,81,97,10
57,Rora,Cowup,Female,11,14,50,0,37,59,25
58,Bellina,Sandom,Female,10,11,7,58,78,22,78
59,Jessie,Elsmore,Male,1,21,24,88,59,51,30
60,Alexio,Caughey,Male,3,22,4,66,94,65,88
61,Jard,Thursfield,Male,5,1,18,36,15,31,13
62,Gracie,Cholwell,Female,5,5,26,90,3,68,63
63,Gauthier,Lomax,Male,8,3,18,48,7,83,95
64,Christin,Sang,Female,4,11,11,19,54,66,0
65,Bernita,Borrel,Female,6,13,12,98,15,79,0
66,Dianne,Ivanuschka,Female,11,16,6,81,84,69,55
67,Gamaliel,Adamides,Male,1,13,15,83,60,20,82
68,Arney,Tilson,Male,7,18,49,71,27,77,81
69,Jasmine,Barkhouse,Female,10,4,14,8,92,29,75
70,Rosy,Kupper,Female,5,23,4,100,23,92,77
71,Bernard,Adne,Male,8,3,42,94,81,50,31
72,Garey,Abbis,Male,2,10,50,30,17,28,7
73,Roselle,Gallie,Female,3,22,49,36,30,81,87
74,Alica,Jeanet,Female,11,27,35,2,25,27,11
75,Angela,Egar,Female,8,29,20,69,65,52,52
76,Dani,Alfonso,Female,9,14,1,49,29,51,43
77,Sibby,Klimuk,Female,2,19,38,68,28,13,67
78,Jeralee,Bowbrick,Female,2,27,25,56,17,81,24
79,Kylie,Boerderman,Female,9,26,43,40,22,32,39
80,Elliott,De Souza,Male,6,5,18,81,81,77,61
81,Otis,Baldoni,Male,9,21,2,60,13,18,63
82,Carl,Mechic,Male,3,30,48,34,95,79,36
83,Clayborn,Dunthorn,Male,8,24,38,51,72,77,63
84,Marquita,Mingey,Female,12,13,33,26,63,8,99
85,Vivia,Suddards,Female,12,15,0,50,32,53,58
86,Babbie,Webling,Female,2,26,50,27,33,96,63
87,Conan,Duff,Male,7,19,20,50,17,87,84
88,Cindie,Kilcoyne,Female,2,1,16,28,70,82,64
89,Adorne,Yurlov,Female,10,13,2,89,53,27,52
90,Godfry,Maharey,Male,12,5,28,49,49,57,86
91,Clyde,Farryan,Male,1,1,19,17,97,13,98
92,Tanhya,Cribbott,Female,4,1,7,1,94,73,51
93,Koenraad,Garci,Male,12,19,42,90,9,47,3
94,Dru,Radki,Male,8,14,47,63,27,78,79
95,Beryl,Bishop,Female,3,10,4,92,10,46,78
96,Cliff,Wilber,Male,5,5,32,51,36,20,51
97,Demetre,Leehane,Male,6,5,45,20,47,29,99
98,Willy,Mellody,Male,4,9,1,31,1,40,56
99,Valentino,Storm,Male,9,7,37,6,84,93,35
100,Andrus,D'Ambrosi,Male,10,16,8,82,44,71,55
101,Kira,Brownjohn,Female,8,5,30,7,45,45,78
102,Cullan,Brandel,Male,12,1,26,40,83,8,22
103,Thaxter,Macoun,Male,10,12,46,35,0,45,89
104,Dina,Gunston,Female,11,6,44,72,14,15,82
105,Paten,Guiness,Male,11,7,39,88,65,54,29
106,Bjorn,Causer,Male,11,23,1,30,22,11,73
107,Zared,Onele,Male,12,26,44,7,25,16,21
108,Phyllys,Spaxman,Female,6,22,25,80,23,36,64
109,Shani,Ciric,Female,9,22,48,20,74,14,92
110,Tobi,Anglin,Female,1,3,0,12,47,76,75
111,Cad,Binny,Male,10,14,36,25,70,7,79
112,Velvet,Beade,Female,1,30,17,57,77,74,87
113,Silvester,Wainman,Male,10,7,33,44,10,13,2
114,Leda,Eginton,Female,5,0,33,41,18,59,78
115,Carce,Schooley,Male,2,17,28,64,64,72,47
116,Jade,Launder,Female,2,15,50,40,75,82,24
117,Nancie,Jakeman,Female,5,0,12,56,72,75,66
118,Rich,Ogilvie,Male,8,16,2,22,24,18,70
119,Rivkah,MacConnal,Female,9,22,8,22,5,72,59
120,Francesca,Clancy,Female,11,6,24,53,39,72,1
121,Consuela,Stebbings,Female,8,4,25,25,65,47,19
122,Bridget,Panting,Female,1,15,11,7,58,52,1
