id,first_name,last_name,gender,Grade,absence_days,tardy_days,math_grade,science_grade,english_grade,it_grade,math_pass,science_pass,english_pass,it_pass,avg_grade,attendance_rate,tardy_rate,total_attendance_issues,attendance_situation,pass_status,attendance_category,grade_level_group,at_risk,needs_intervention,failed_subjects,best_subject,worst_subject,grade_variance,performance_tier,honor_roll
1,Marsh,Hullot,Male,1,5,36,52,50,95,87,1,1,1,1,71.0,97.22,20.0,41,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,English,Science,23.34,Satisfactory,0
2,Boniface,Vany,Male,2,0,11,75,83,68,62,1,1,1,1,72.0,100.0,6.11,11,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,Science,It,9.06,Satisfactory,0
3,Harwilll,List,Male,3,20,48,50,50,50,63,1,1,1,1,53.25,88.89,26.67,68,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,6.5,Passing,0
4,Carlie,Niche,Male,1,3,24,99,50,61,50,1,1,1,1,65.0,98.33,13.33,27,Excessive Tardiness,Pass,Concerning,Elementary (1-5),0,1,0,Math,Science,23.25,Needs Improvement,0
5,Wilow,Regnard,Female,5,11,23,55,50,50,50,1,1,1,1,51.25,93.89,12.78,34,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,2.5,Passing,0
6,Sapphire,Lunt,Female,5,19,47,97,50,50,50,1,1,1,1,61.75,89.44,26.11,66,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,23.5,Needs Improvement,0
7,Walden,Lerohan,Male,5,6,10,80,55,71,50,1,1,1,1,64.0,96.67,5.56,16,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,Math,It,13.93,Needs Improvement,0
8,Davita,Blasl,Female,12,13,1,79,19,68,27,1,0,1,0,48.25,92.78,0.56,14,Excessive Absence,Fail,Moderate,High (9-12),0,1,2,Math,Science,29.68,Failing,0
9,Elinor,Crumbleholme,Female,7,12,43,7,57,52,99,0,1,1,1,53.75,93.33,23.89,55,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,1,It,Math,37.62,Passing,0
10,Merrel,Lownsbrough,Male,10,21,9,26,92,40,50,0,1,0,1,52.0,88.33,5.0,30,Excessive Absence,Pass,Concerning,High (9-12),0,1,2,Science,Math,28.43,Passing,0
11,Gale,Horburgh,Female,2,15,13,75,71,52,83,1,1,1,1,70.25,91.67,7.22,28,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,It,English,13.15,Satisfactory,0
12,Mikel,Dicty,Male,3,24,42,50,50,50,92,1,1,1,1,60.5,86.67,23.33,66,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,21.0,Needs Improvement,0
